Transaction_Date,Stock_ Date,Invoice_ID,Age_Group_Key,Customer_Gender_Key,Region_Key,Product_Key,Quantity_Sold
2016-01-07,30-Aug-15,INV-3709,3,1,9,263,3
2016-01-08,01-Jan-16,INV-3718,3,2,9,227,3
2016-01-08,10-Aug-15,INV-3720,3,1,9,274,3
2016-01-09,26-Dec-15,INV-3724,3,2,9,256,3
2016-01-09,31-Oct-15,INV-3725,3,1,9,263,3
2016-01-10,02-Jan-16,INV-3728,3,2,9,228,3
2016-01-11,10-Aug-15,INV-3736,3,2,9,262,3
2016-01-12,03-Sep-15,INV-3745,3,1,9,256,3
2016-01-14,28-Aug-15,INV-3752,3,2,9,228,3
2016-01-14,02-Nov-15,INV-3753,3,1,9,227,3
2016-01-15,14-Sep-15,INV-3762,3,1,9,274,3
2016-01-16,23-Dec-15,INV-3766,3,2,9,232,3
2016-01-16,05-Oct-15,INV-3767,3,2,9,232,3
2016-01-16,16-Oct-15,INV-3769,3,2,9,253,3
2016-01-16,02-Dec-15,INV-3771,3,1,9,263,3
2016-01-21,11-Jan-16,INV-3801,3,1,9,229,3
2016-01-22,24-Sep-15,INV-3811,3,1,9,238,3
2016-01-22,30-Nov-15,INV-3813,3,2,9,273,3
2016-01-24,23-Dec-15,INV-3823,3,2,9,253,3
2016-01-26,13-Dec-15,INV-3830,3,1,9,227,3
2016-01-27,18-Aug-15,INV-3836,3,2,9,232,3
2016-01-28,30-Dec-15,INV-3843,3,2,9,228,3
2016-01-29,12-Nov-15,INV-3848,3,1,9,263,3
2016-01-30,29-Aug-15,INV-3856,3,2,9,255,3
2016-01-31,09-Sep-15,INV-3864,3,1,9,226,3
2016-02-01,21-Jan-16,INV-3868,3,2,9,253,3
2016-02-01,12-Nov-15,INV-3869,3,1,9,262,3
2016-02-01,07-Dec-15,INV-3870,3,2,9,256,3
2016-02-02,03-Sep-15,INV-3876,3,1,9,271,3
2016-02-03,10-Dec-15,INV-3884,3,2,9,257,3
2016-02-05,10-Dec-15,INV-3895,3,1,9,226,3
2016-02-05,22-Oct-15,INV-3896,3,1,9,274,3
2016-02-06,15-Nov-15,INV-3906,3,1,9,263,3
2016-02-07,16-Aug-15,INV-3911,3,1,9,237,3
2016-02-07,02-Sep-15,INV-3912,3,1,9,256,3
2016-02-07,04-Nov-15,INV-3913,3,1,9,265,3
2016-02-08,04-Jan-16,INV-3916,3,2,9,255,3
2016-02-10,01-Dec-15,INV-3928,3,1,9,262,3
2016-02-11,30-Jan-16,INV-3939,3,1,9,256,3
2016-02-11,13-Oct-15,INV-3940,3,2,9,255,3
2016-02-11,12-Dec-15,INV-3941,3,1,9,263,3
2016-02-15,28-Aug-15,INV-3965,3,2,9,255,3
2016-02-15,16-Jan-16,INV-3966,3,2,9,247,3
2016-02-16,11-Feb-16,INV-3968,3,2,9,253,3
2016-02-17,21-Nov-15,INV-3973,3,1,9,256,3
2016-02-20,08-Feb-16,INV-3985,3,1,9,256,3
