Transaction_Date,Stock_ Date,Invoice_ID,Age_Group_Key,Customer_Gender_Key,Region_Key,Product_Key,Quantity_Sold,Year
24-Jan-18,01-Jan-18,INV-34004,1,2,9,244,2,2018
03-Feb-18,13-Jan-18,INV-35438,1,2,9,241,2,2018
04-Feb-18,15-Jan-18,INV-35565,1,2,9,223,2,2018
06-Feb-18,25-Jan-18,INV-35885,1,2,9,273,2,2018
07-Feb-18,23-Jan-18,INV-36030,1,2,9,283,2,2018
08-Feb-18,30-Jan-18,INV-36176,1,2,9,245,2,2018
10-Feb-18,12-Jan-18,INV-36473,1,2,9,297,2,2018
14-Feb-18,01-Jan-18,INV-37006,1,2,9,301,2,2018
15-Feb-18,20-Jan-18,INV-37133,1,2,9,322,2,2018
16-Feb-18,08-Feb-18,INV-37273,1,2,9,300,2,2018
18-Feb-18,19-Jan-18,INV-37606,1,2,9,291,2,2018
22-Feb-18,15-Feb-18,INV-38268,1,2,9,269,2,2018
26-Feb-18,18-Feb-18,INV-38745,1,2,9,247,2,2018
27-Feb-18,22-Jan-18,INV-38893,1,2,9,229,2,2018
28-Feb-18,15-Feb-18,INV-39054,1,2,9,289,2,2018
01-Mar-18,05-Feb-18,INV-39278,1,2,9,241,2,2018
01-Mar-18,22-Feb-18,INV-39280,1,2,9,227,2,2018
01-Mar-18,03-Jan-18,INV-39282,1,2,9,244,2,2018
02-Mar-18,05-Feb-18,INV-39450,1,2,9,248,2,2018
06-Mar-18,26-Feb-18,INV-39969,1,2,9,226,2,2018
11-Mar-18,04-Feb-18,INV-40700,1,2,9,290,2,2018
12-Mar-18,03-Jan-18,INV-40837,1,2,9,308,2,2018
12-Mar-18,02-Jan-18,INV-40839,1,2,9,226,2,2018
12-Mar-18,09-Feb-18,INV-40860,1,2,9,291,2,2018
14-Mar-18,05-Feb-18,INV-41145,1,2,9,297,2,2018
22-Mar-18,21-Jan-18,INV-42180,1,2,9,224,2,2018
23-Mar-18,23-Jan-18,INV-42331,1,2,9,284,2,2018
24-Mar-18,19-Mar-18,INV-42461,1,2,9,249,2,2018
25-Mar-18,09-Feb-18,INV-42602,1,2,9,277,2,2018
26-Mar-18,06-Mar-18,INV-42739,1,2,9,255,2,2018
27-Mar-18,09-Mar-18,INV-42872,1,2,9,322,2,2018
27-Mar-18,21-Feb-18,INV-42877,1,2,9,231,2,2018
04-Apr-18,05-Mar-18,INV-44085,1,2,9,249,2,2018
05-Apr-18,06-Jan-18,INV-44207,1,2,9,231,2,2018
06-Apr-18,05-Mar-18,INV-44354,1,2,9,250,2,2018
08-Apr-18,29-Mar-18,INV-44657,1,2,9,228,2,2018
10-Apr-18,04-Apr-18,INV-44936,1,2,9,231,2,2018
11-Apr-18,14-Feb-18,INV-45074,1,2,9,255,2,2018
14-Apr-18,01-Mar-18,INV-45462,1,2,9,247,2,2018
14-Apr-18,23-Mar-18,INV-45472,1,2,9,283,2,2018
15-Apr-18,05-Jan-18,INV-45642,1,2,9,262,2,2018
16-Apr-18,07-Jan-18,INV-45778,1,2,9,267,2,2018
20-Apr-18,06-Jan-18,INV-46433,1,2,9,267,2,2018
20-Apr-18,28-Mar-18,INV-46449,1,2,9,301,2,2018
21-Apr-18,02-Mar-18,INV-46569,1,2,9,269,2,2018
22-Apr-18,10-Feb-18,INV-46719,1,2,9,249,2,2018
23-Apr-18,27-Feb-18,INV-46867,1,2,9,255,2,2018
23-Apr-18,24-Jan-18,INV-46868,1,2,9,255,2,2018
23-Apr-18,27-Mar-18,INV-46871,1,2,9,249,2,2018
23-Apr-18,30-Jan-18,INV-46890,1,2,9,297,2,2018
24-Apr-18,31-Mar-18,INV-47017,1,2,9,320,2,2018
24-Apr-18,01-Feb-18,INV-47029,1,2,9,227,2,2018
25-Apr-18,06-Feb-18,INV-47204,1,2,9,259,2,2018
26-Apr-18,06-Apr-18,INV-47354,1,2,9,267,2,2018
27-Apr-18,11-Mar-18,INV-47518,1,2,9,244,2,2018
27-Apr-18,17-Apr-18,INV-47519,1,2,9,274,2,2018
27-Apr-18,04-Apr-18,INV-47520,1,2,9,249,2,2018
29-Apr-18,21-Jan-18,INV-47840,1,2,9,228,2,2018
30-Apr-18,11-Feb-18,INV-47991,1,2,9,255,2,2018
01-May-18,01-Feb-18,INV-48212,1,2,9,267,2,2018
01-May-18,06-Feb-18,INV-48227,1,2,9,290,2,2018
03-May-18,02-Mar-18,INV-48495,1,2,9,254,2,2018
04-May-18,15-Apr-18,INV-48680,1,2,9,231,2,2018
04-May-18,04-Feb-18,INV-48692,1,2,9,303,2,2018
05-May-18,12-Feb-18,INV-48879,1,2,9,267,2,2018
05-May-18,14-Jan-18,INV-48895,1,2,9,298,2,2018
07-May-18,11-Feb-18,INV-49217,1,2,9,228,2,2018
07-May-18,14-Jan-18,INV-49231,1,2,9,285,2,2018
08-May-18,20-Feb-18,INV-49399,1,2,9,264,2,2018
09-May-18,28-Jan-18,INV-49570,1,2,9,228,2,2018
09-May-18,03-Jan-18,INV-49573,1,2,9,281,2,2018
11-May-18,25-Apr-18,INV-49865,1,2,9,290,2,2018
13-May-18,14-Feb-18,INV-50197,1,2,9,217,2,2018
13-May-18,06-May-18,INV-50208,1,2,9,287,2,2018
15-May-18,14-Jan-18,INV-50554,1,2,9,226,2,2018
16-May-18,21-Mar-18,INV-50720,1,2,9,228,2,2018
16-May-18,08-Jan-18,INV-50721,1,2,9,234,2,2018
16-May-18,20-Apr-18,INV-50722,1,2,9,277,2,2018
16-May-18,23-Jan-18,INV-50723,1,2,9,273,2,2018
16-May-18,14-Mar-18,INV-50734,1,2,9,287,2,2018
17-May-18,05-May-18,INV-50875,1,2,9,255,2,2018
17-May-18,22-Feb-18,INV-50893,1,2,9,299,2,2018
18-May-18,20-Feb-18,INV-51009,1,2,9,276,2,2018
19-May-18,01-Jan-18,INV-51154,1,2,9,254,2,2018
19-May-18,11-Apr-18,INV-51163,1,2,9,298,2,2018
20-May-18,11-Mar-18,INV-51326,1,2,9,227,2,2018
20-May-18,27-Apr-18,INV-51348,1,2,9,300,2,2018
21-May-18,13-Apr-18,INV-51510,1,2,9,237,2,2018
23-May-18,15-Jan-18,INV-51789,1,2,9,255,2,2018
23-May-18,19-Mar-18,INV-51790,1,2,9,255,2,2018
23-May-18,13-May-18,INV-51793,1,2,9,264,2,2018
24-May-18,24-Feb-18,INV-51951,1,2,9,226,2,2018
24-May-18,19-Mar-18,INV-51954,1,2,9,256,2,2018
24-May-18,17-May-18,INV-51955,1,2,9,254,2,2018
24-May-18,04-Mar-18,INV-51964,1,2,9,299,2,2018
26-May-18,05-Jan-18,INV-52263,1,2,9,254,2,2018
26-May-18,19-Mar-18,INV-52275,1,2,9,224,2,2018
27-May-18,18-Jan-18,INV-52411,1,2,9,231,2,2018
28-May-18,16-Feb-18,INV-52553,1,2,9,260,2,2018
28-May-18,04-Jan-18,INV-52566,1,2,9,303,2,2018
29-May-18,21-Feb-18,INV-52697,1,2,9,315,2,2018
30-May-18,30-Mar-18,INV-52855,1,2,9,251,2,2018
31-May-18,07-Apr-18,INV-53021,1,2,9,271,2,2018
31-May-18,23-May-18,INV-53022,1,2,9,264,2,2018
01-Jun-18,30-Mar-18,INV-53145,1,2,9,245,2,2018
01-Jun-18,30-Apr-18,INV-53146,1,2,9,248,2,2018
01-Jun-18,27-Apr-18,INV-53154,1,2,9,298,2,2018
02-Jun-18,05-May-18,INV-53271,1,2,9,259,2,2018
02-Jun-18,07-May-18,INV-53272,1,2,9,261,2,2018
03-Jun-18,20-May-18,INV-53425,1,2,9,226,2,2018
03-Jun-18,28-Mar-18,INV-53428,1,2,9,226,2,2018
03-Jun-18,14-Apr-18,INV-53429,1,2,9,246,2,2018
03-Jun-18,14-Apr-18,INV-53430,1,2,9,250,2,2018
03-Jun-18,03-Jan-18,INV-53432,1,2,9,258,2,2018
03-Jun-18,25-May-18,INV-53444,1,2,9,294,2,2018
04-Jun-18,23-Apr-18,INV-53577,1,2,9,304,2,2018
04-Jun-18,21-May-18,INV-53578,1,2,9,245,2,2018
04-Jun-18,20-Feb-18,INV-53579,1,2,9,248,2,2018
04-Jun-18,03-Mar-18,INV-53580,1,2,9,255,2,2018
05-Jun-18,07-May-18,INV-53752,1,2,9,264,2,2018
05-Jun-18,29-Mar-18,INV-53753,1,2,9,248,2,2018
05-Jun-18,25-Mar-18,INV-53755,1,2,9,262,2,2018
06-Jun-18,19-Apr-18,INV-53937,1,2,9,226,2,2018
06-Jun-18,04-Feb-18,INV-53940,1,2,9,246,2,2018
06-Jun-18,02-Feb-18,INV-53942,1,2,9,248,2,2018
06-Jun-18,15-Jan-18,INV-53943,1,2,9,259,2,2018
08-Jun-18,19-May-18,INV-54301,1,2,9,322,2,2018
08-Jun-18,22-Feb-18,INV-54308,1,2,9,327,2,2018
08-Jun-18,27-May-18,INV-54316,1,2,9,308,2,2018
08-Jun-18,07-Apr-18,INV-54317,1,2,9,308,2,2018
08-Jun-18,26-Jan-18,INV-54321,1,2,9,264,2,2018
08-Jun-18,28-Mar-18,INV-54326,1,2,9,267,2,2018
09-Jun-18,20-Feb-18,INV-54490,1,2,9,248,2,2018
09-Jun-18,12-Feb-18,INV-54493,1,2,9,255,2,2018
09-Jun-18,13-Feb-18,INV-54504,1,2,9,202,2,2018
10-Jun-18,01-Mar-18,INV-54646,1,2,9,255,2,2018
10-Jun-18,13-Feb-18,INV-54647,1,2,9,265,2,2018
10-Jun-18,02-Feb-18,INV-54657,1,2,9,224,2,2018
11-Jun-18,01-Mar-18,INV-54821,1,2,9,282,2,2018
11-Jun-18,15-Apr-18,INV-54829,1,2,9,226,2,2018
11-Jun-18,06-Jun-18,INV-54833,1,2,9,239,2,2018
11-Jun-18,17-May-18,INV-54836,1,2,9,262,2,2018
11-Jun-18,01-Mar-18,INV-54837,1,2,9,250,2,2018
12-Jun-18,20-Mar-18,INV-54988,1,2,9,234,2,2018
12-Jun-18,01-Mar-18,INV-54999,1,2,9,287,2,2018
13-Jun-18,09-Feb-18,INV-55123,1,2,9,246,2,2018
13-Jun-18,02-Feb-18,INV-55124,1,2,9,254,2,2018
13-Jun-18,01-Feb-18,INV-55126,1,2,9,275,2,2018
13-Jun-18,16-Feb-18,INV-55130,1,2,9,205,2,2018
13-Jun-18,23-May-18,INV-55141,1,2,9,302,2,2018
13-Jun-18,10-Mar-18,INV-55143,1,2,9,283,2,2018
14-Jun-18,27-Jan-18,INV-55343,1,2,9,308,2,2018
14-Jun-18,24-Jan-18,INV-55347,1,2,9,245,2,2018
14-Jun-18,28-May-18,INV-55351,1,2,9,267,2,2018
15-Jun-18,29-Apr-18,INV-55526,1,2,9,321,2,2018
15-Jun-18,26-Apr-18,INV-55545,1,2,9,265,2,2018
15-Jun-18,02-Apr-18,INV-55565,1,2,9,295,2,2018
16-Jun-18,02-Jun-18,INV-55695,1,2,9,327,2,2018
16-Jun-18,23-Feb-18,INV-55701,1,2,9,239,2,2018
17-Jun-18,21-Apr-18,INV-55870,1,2,9,248,2,2018
17-Jun-18,11-Jun-18,INV-55873,1,2,9,254,2,2018
17-Jun-18,13-Feb-18,INV-55874,1,2,9,254,2,2018
17-Jun-18,16-Feb-18,INV-55875,1,2,9,277,2,2018
17-Jun-18,08-May-18,INV-55877,1,2,9,258,2,2018
17-Jun-18,17-Mar-18,INV-55890,1,2,9,299,2,2018
17-Jun-18,09-Mar-18,INV-55891,1,2,9,300,2,2018
18-Jun-18,11-Jun-18,INV-56054,1,2,9,232,2,2018
19-Jun-18,10-Jun-18,INV-56217,1,2,9,308,2,2018
19-Jun-18,21-Jan-18,INV-56219,1,2,9,245,2,2018
19-Jun-18,20-Jan-18,INV-56224,1,2,9,224,2,2018
19-Jun-18,07-May-18,INV-56225,1,2,9,300,2,2018
19-Jun-18,02-Jun-18,INV-56227,1,2,9,292,2,2018
20-Jun-18,30-Apr-18,INV-56387,1,2,9,246,2,2018
21-Jun-18,12-May-18,INV-56588,1,2,9,328,2,2018
21-Jun-18,25-Feb-18,INV-56593,1,2,9,246,2,2018
21-Jun-18,28-May-18,INV-56594,1,2,9,250,2,2018
21-Jun-18,22-Feb-18,INV-56595,1,2,9,255,2,2018
22-Jun-18,23-Feb-18,INV-56792,1,2,9,242,2,2018
22-Jun-18,23-Feb-18,INV-56793,1,2,9,226,2,2018
22-Jun-18,04-Jan-18,INV-56796,1,2,9,249,2,2018
22-Jun-18,14-Feb-18,INV-56802,1,2,9,290,2,2018
24-Jun-18,10-Jun-18,INV-57104,1,2,9,248,2,2018
24-Jun-18,18-Jun-18,INV-57108,1,2,9,267,2,2018
24-Jun-18,30-Apr-18,INV-57117,1,2,9,211,2,2018
24-Jun-18,10-Jun-18,INV-57132,1,2,9,290,2,2018
25-Jun-18,26-Apr-18,INV-57286,1,2,9,227,2,2018
25-Jun-18,21-Apr-18,INV-57305,1,2,9,298,2,2018
26-Jun-18,07-Feb-18,INV-57457,1,2,9,234,2,2018
26-Jun-18,15-Jun-18,INV-57458,1,2,9,264,2,2018
26-Jun-18,19-Jan-18,INV-57459,1,2,9,254,2,2018
26-Jun-18,23-Feb-18,INV-57460,1,2,9,254,2,2018
26-Jun-18,09-Jun-18,INV-57466,1,2,9,211,2,2018
26-Jun-18,14-Jun-18,INV-57472,1,2,9,211,2,2018
27-Jun-18,20-Feb-18,INV-57616,1,2,9,231,2,2018
27-Jun-18,23-Jan-18,INV-57617,1,2,9,226,2,2018
27-Jun-18,07-Jan-18,INV-57619,1,2,9,256,2,2018
27-Jun-18,09-Mar-18,INV-57620,1,2,9,255,2,2018
28-Jun-18,04-Apr-18,INV-57812,1,2,9,254,2,2018
28-Jun-18,27-Feb-18,INV-57814,1,2,9,316,2,2018
29-Jun-18,06-Apr-18,INV-57964,1,2,9,329,2,2018
29-Jun-18,01-Feb-18,INV-57971,1,2,9,248,2,2018
29-Jun-18,07-Apr-18,INV-57978,1,2,9,288,2,2018
02-Jul-18,25-Jun-18,INV-160377,1,2,9,229,2,2018
02-Jul-18,10-Mar-18,INV-160380,1,2,9,244,2,2018
03-Jul-18,27-Jun-18,INV-160428,1,2,9,241,2,2018
03-Jul-18,13-Jan-18,INV-160429,1,2,9,308,2,2018
05-Jul-18,03-Mar-18,INV-58453,1,2,9,322,2,2018
10-Jul-18,03-Jun-18,INV-58799,1,2,9,202,2,2018
11-Jul-18,30-May-18,INV-160803,1,2,9,243,2,2018
12-Jul-18,21-Jun-18,INV-160857,1,2,9,271,2,2018
13-Jul-18,20-Feb-18,INV-160900,1,2,9,239,2,2018
19-Jul-18,27-Jun-18,INV-161142,1,2,9,245,2,2018
20-Jul-18,25-Jun-18,INV-161214,1,2,9,238,2,2018
23-Jul-18,18-May-18,INV-59631,1,2,9,223,2,2018
24-Jul-18,09-Jun-18,INV-161389,1,2,9,239,2,2018
01-Aug-18,19-Mar-18,INV-161818,1,2,9,246,2,2018
01-Aug-18,02-Apr-18,INV-161820,1,2,9,201,2,2018
03-Aug-18,28-Feb-18,INV-162049,1,2,9,229,2,2018
03-Aug-18,09-Feb-18,INV-162051,1,2,9,250,2,2018
05-Aug-18,03-Mar-18,INV-162254,1,2,9,269,2,2018
07-Aug-18,13-Mar-18,INV-162462,1,2,9,321,2,2018
07-Aug-18,20-May-18,INV-162489,1,2,9,244,2,2018
07-Aug-18,08-Jul-18,INV-162490,1,2,9,246,2,2018
10-Aug-18,30-Apr-18,INV-162916,1,2,9,245,2,2018
15-Aug-18,15-Apr-18,INV-163495,1,2,9,213,2,2018
18-Aug-18,21-May-18,INV-163892,1,2,9,285,2,2018
19-Aug-18,09-Mar-18,INV-164047,1,2,9,301,2,2018
20-Aug-18,10-Jul-18,INV-164140,1,2,9,239,2,2018
24-Aug-18,31-Mar-18,INV-164579,1,2,9,250,2,2018
25-Aug-18,01-Mar-18,INV-164727,1,2,9,245,2,2018
28-Aug-18,21-Jul-18,INV-165104,1,2,9,327,2,2018
29-Aug-18,02-Aug-18,INV-165244,1,2,9,234,2,2018
04-Sep-18,17-May-18,INV-165995,1,2,9,250,2,2018
05-Sep-18,04-Aug-18,INV-166123,1,2,9,248,2,2018
05-Sep-18,22-Aug-18,INV-166124,1,2,9,259,2,2018
07-Sep-18,27-Aug-18,INV-166339,1,2,9,330,2,2018
07-Sep-18,24-Mar-18,INV-166340,1,2,9,330,2,2018
07-Sep-18,31-May-18,INV-166363,1,2,9,247,2,2018
09-Sep-18,11-Jul-18,INV-166652,1,2,9,250,2,2018
10-Sep-18,01-Aug-18,INV-166760,1,2,9,242,2,2018
10-Sep-18,03-Jul-18,INV-166765,1,2,9,249,2,2018
12-Sep-18,21-May-18,INV-166982,1,2,9,330,2,2018
12-Sep-18,01-Sep-18,INV-167005,1,2,9,239,2,2018
13-Sep-18,27-Mar-18,INV-167164,1,2,9,327,2,2018
13-Sep-18,06-Jul-18,INV-167191,1,2,9,288,2,2018
14-Sep-18,26-May-18,INV-167320,1,2,9,236,2,2018
18-Sep-18,17-Jun-18,INV-167861,1,2,9,246,2,2018
18-Sep-18,02-Aug-18,INV-167866,1,2,9,247,2,2018
18-Sep-18,07-May-18,INV-167872,1,2,9,211,2,2018
19-Sep-18,09-Apr-18,INV-168035,1,2,9,201,2,2018
20-Sep-18,30-Aug-18,INV-168166,1,2,9,244,2,2018
20-Sep-18,17-Apr-18,INV-168168,1,2,9,247,2,2018
21-Sep-18,18-May-18,INV-168292,1,2,9,330,2,2018
22-Sep-18,22-Jun-18,INV-168443,1,2,9,248,2,2018
24-Sep-18,17-Apr-18,INV-168687,1,2,9,308,2,2018
25-Sep-18,22-Jul-18,INV-168801,1,2,9,264,2,2018
26-Sep-18,28-Jun-18,INV-168923,1,2,9,248,2,2018
28-Sep-18,02-Aug-18,INV-169193,1,2,9,246,2,2018
30-Sep-18,11-Aug-18,INV-169384,1,2,9,321,2,2018
30-Sep-18,21-Sep-18,INV-169404,1,2,9,250,2,2018
30-Sep-18,22-May-18,INV-169406,1,2,9,248,2,2018
30-Sep-18,20-Apr-18,INV-169407,1,2,9,249,2,2018
01-Oct-18,02-May-18,INV-169530,1,2,9,257,2,2018
03-Oct-18,26-Apr-18,INV-169828,1,2,9,294,2,2018
